Date,Open,High,Low,Close,Adj Close,Volume
2023-07-17,345.679993,346.989990,342.200012,345.730011,344.999573,20363900
2023-07-18,345.829987,366.779999,342.170013,359.489990,358.730469,64872700
2023-07-19,361.750000,362.459991,352.440002,355.079987,354.329803,39732900
2023-07-20,353.570007,357.970001,345.369995,346.869995,346.137146,33778400
2023-07-21,349.149994,350.299988,339.829987,343.769989,343.043701,69368900
2023-07-24,345.850006,346.920013,342.309998,345.109985,344.380859,26678100
2023-07-25,347.109985,351.890015,345.070007,350.980011,350.238464,41637700
2023-07-26,341.440002,344.670013,333.109985,337.769989,337.056366,58383700
2023-07-27,340.480011,341.329987,329.049988,330.720001,330.021271,39635300
2023-07-28,333.670013,340.010010,333.170013,338.369995,337.655090,28484900
2023-07-31,336.920013,337.700012,333.359985,335.920013,335.210297,25446000
2023-08-01,335.190002,338.540009,333.700012,336.339996,335.629395,18311900
2023-08-02,333.630005,333.630005,326.359985,327.500000,326.808075,27761300
2023-08-03,326.000000,329.880005,325.950012,326.660004,325.969849,18253700
2023-08-04,331.880005,335.140015,327.239990,327.779999,327.087494,23727700
2023-08-07,328.369995,331.109985,327.519989,330.109985,329.412537,17741500
2023-08-08,326.959991,328.750000,323.000000,326.049988,325.361115,22327600
2023-08-09,326.470001,327.109985,321.049988,322.230011,321.549225,22373300
2023-08-10,326.019989,328.260010,321.179993,322.929993,322.247711,20113700
2023-08-11,320.260010,322.410004,319.209991,321.010010,320.331787,24342600
2023-08-14,321.390015,324.059998,320.079987,324.040009,323.355408,18836100
2023-08-15,323.000000,325.089996,320.899994,321.859985,321.179962,16966300
2023-08-16,320.799988,324.420013,319.799988,320.399994,320.399994,20698900
2023-08-17,320.540009,321.869995,316.209991,316.880005,316.880005,21257200
2023-08-18,314.489990,318.380005,311.549988,316.480011,316.480011,24744800
2023-08-21,317.929993,322.769989,317.040009,321.880005,321.880005,24040000
2023-08-22,325.500000,326.079987,321.459991,322.459991,322.459991,16102000
2023-08-23,323.820007,329.200012,323.459991,327.000000,327.000000,21166400
2023-08-24,332.850006,332.980011,319.959991,319.970001,319.970001,23281400
2023-08-25,321.470001,325.359985,318.799988,322.980011,322.980011,21684100
2023-08-28,325.660004,326.149994,321.720001,323.700012,323.700012,14808500
2023-08-29,321.880005,328.980011,321.880005,328.410004,328.410004,19284600
2023-08-30,328.670013,329.809998,326.450012,328.790009,328.790009,15222100
2023-08-31,329.200012,330.910004,326.779999,327.760010,327.760010,26411000
2023-09-01,331.309998,331.989990,326.779999,328.660004,328.660004,14931200
2023-09-05,329.000000,334.850006,328.660004,333.549988,333.549988,18553900
2023-09-06,333.380005,334.459991,330.179993,332.880005,332.880005,17535800
2023-09-07,331.290009,333.079987,329.029999,329.910004,329.910004,18381000
2023-09-08,330.089996,336.160004,329.459991,334.269989,334.269989,19530100
2023-09-11,337.239990,338.420013,335.429993,337.940002,337.940002,16583300
2023-09-12,335.820007,336.790009,331.480011,331.769989,331.769989,17565500
2023-09-13,331.309998,336.850006,331.170013,336.059998,336.059998,16544400
2023-09-14,339.149994,340.859985,336.570007,338.700012,338.700012,20267000
2023-09-15,336.920013,337.399994,329.649994,330.220001,330.220001,37666900
2023-09-18,327.799988,330.399994,326.359985,329.059998,329.059998,16834200
2023-09-19,326.170013,329.390015,324.510010,328.649994,328.649994,16505900
2023-09-20,329.510010,329.589996,320.510010,320.769989,320.769989,21436500
2023-09-21,319.260010,325.350006,315.000000,319.529999,319.529999,35529500
2023-09-22,321.320007,321.450012,316.149994,317.010010,317.010010,21429700
2023-09-25,316.589996,317.670013,315.000000,317.540009,317.540009,17836000
2023-09-26,315.130005,315.880005,310.019989,312.140015,312.140015,26297600
2023-09-27,312.299988,314.299988,309.690002,312.790009,312.790009,19387300
